Date,Water Abundance Score
1/1/2000,77.5
1/1/2001,63.17
1/1/2002,53.6
1/1/2003,62.64
1/1/2004,56.51
1/1/2005,78.72
1/1/2006,76.84
1/1/2007,35.67
1/1/2008,42.09
1/1/2009,38.8
1/1/2010,71.86
1/1/2011,78.14
1/1/2012,45.18
1/1/2013,32.57
1/1/2014,14.05
1/1/2015,13.04
