Date,GWh
1/1/1990,61.475
1/1/1991,57.835
1/1/1992,56.759
1/1/1993,64.647
1/1/1994,81.105
1/1/1995,88.857
1/1/1996,89.487
1/1/1997,95.772
1/1/1998,87.439
1/1/1999,90.154
1/1/2000,99.308
1/1/2001,93.656
1/1/2002,98.416
1/1/2003,87.986
1/1/2004,83.325
1/1/2005,78.348
1/1/2006,77.569
1/1/2007,78.353
1/1/2008,81.798
1/1/2009,111.954
1/1/2010,125.508
1/1/2011,156.522
1/1/2012,157.874
1/1/2013,163.741
1/1/2014,170.322
1/1/2015,174.438
